t,  X,  Y,  Z,  X.1,  Y.1,  Z.1,  traj_id
0.000000000000000000e+00,8.469476318359373535e-01,-6.809445858001708651e-02,1.601806526184081925e+00,8.469476318359373535e-01,-6.809445858001708651e-02,1.601806526184081925e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.571632385253905584e-01,-6.827325820922851285e-02,1.605964279174804776e+00,8.571632385253905584e-01,-6.827325820922851285e-02,1.605964279174804776e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.676932525634765137e-01,-6.847763538360596147e-02,1.610084152221679554e+00,8.676932525634765137e-01,-6.847763538360596147e-02,1.610084152221679554e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.782269287109375488e-01,-6.870443820953368863e-02,1.613999977111816309e+00,8.782269287109375488e-01,-6.870443820953368863e-02,1.613999977111816309e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.989647674560548030e-01,-6.925126552581786776e-02,1.617399330139159597e+00,8.989647674560548030e-01,-6.925126552581786776e-02,1.617399330139159597e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.092427062988279740e-01,-6.971858024597168968e-02,1.618654518127441655e+00,9.092427062988279740e-01,-6.971858024597168968e-02,1.618654518127441655e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.196118927001951660e-01,-7.048455715179442749e-02,1.621499633789062145e+00,9.196118927001951660e-01,-7.048455715179442749e-02,1.621499633789062145e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.300537872314451615e-01,-7.166356563568115901e-02,1.626162872314452779e+00,9.300537872314451615e-01,-7.166356563568115901e-02,1.626162872314452779e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.405262756347656516e-01,-7.336204528808593084e-02,1.632766914367675293e+00,9.405262756347656516e-01,-7.336204528808593084e-02,1.632766914367675293e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.512858581542970038e-01,-7.574900627136230136e-02,1.641599121093750169e+00,9.512858581542970038e-01,-7.574900627136230136e-02,1.641599121093750169e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.724225616455075549e-01,-8.268904685974118318e-02,1.664614334106444993e+00,9.724225616455075549e-01,-8.268904685974118318e-02,1.664614334106444993e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.826557159423827681e-01,-8.729996681213376963e-02,1.678408470153808674e+00,9.826557159423827681e-01,-8.729996681213376963e-02,1.678408470153808674e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.925750732421876332e-01,-9.268559455871581976e-02,1.693570404052734402e+00,9.925750732421876332e-01,-9.268559455871581976e-02,1.693570404052734402e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.002119369506836000e+00,-9.883725166320800337e-02,1.709995422363281392e+00,1.002119369506836000e+00,-9.883725166320800337e-02,1.709995422363281392e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.011232910156249831e+00,-1.057339191436767606e-01,1.727568511962890296e+00,1.011232910156249831e+00,-1.057339191436767606e-01,1.727568511962890296e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.019937210083007750e+00,-1.132248401641845481e-01,1.745000381469726358e+00,1.019937210083007750e+00,-1.132248401641845481e-01,1.745000381469726358e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.028291778564453196e+00,-1.211329460144043024e-01,1.760749511718750160e+00,1.028291778564453196e+00,-1.211329460144043024e-01,1.760749511718750160e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.036072463989257564e+00,-1.291438102722168024e-01,1.773990325927734091e+00,1.036072463989257564e+00,-1.291438102722168024e-01,1.773990325927734091e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.043553009033203249e+00,-1.374213886260986506e-01,1.784822502136230504e+00,1.043553009033203249e+00,-1.374213886260986506e-01,1.784822502136230504e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.050974044799804830e+00,-1.461733436584472245e-01,1.793194885253906357e+00,1.050974044799804830e+00,-1.461733436584472245e-01,1.793194885253906357e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.058118896484375071e+00,-1.551191234588623069e-01,1.798729705810546919e+00,1.058118896484375071e+00,-1.551191234588623069e-01,1.798729705810546919e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.064992446899414080e+00,-1.642393112182617132e-01,1.801589012145996316e+00,1.064992446899414080e+00,-1.642393112182617132e-01,1.801589012145996316e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.071595764160155895e+00,-1.735206604003906583e-01,1.802015533447265616e+00,1.071595764160155895e+00,-1.735206604003906583e-01,1.802015533447265616e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.077746658325195117e+00,-1.826730537414550382e-01,1.800356597900390598e+00,1.077746658325195117e+00,-1.826730537414550382e-01,1.800356597900390598e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.083644943237304314e+00,-1.919584274291991910e-01,1.796902999877929341e+00,1.083644943237304314e+00,-1.919584274291991910e-01,1.796902999877929341e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.089461364746093563e+00,-2.016555213928222512e-01,1.791709671020508043e+00,1.089461364746093563e+00,-2.016555213928222512e-01,1.791709671020508043e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.094860076904296875e+00,-2.111858558654784723e-01,1.785298805236816388e+00,1.094860076904296875e+00,-2.111858558654784723e-01,1.785298805236816388e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.100175018310546982e+00,-2.211190032958983975e-01,1.777487525939941859e+00,1.100175018310546982e+00,-2.211190032958983975e-01,1.777487525939941859e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.105101470947265518e+00,-2.308629989624023937e-01,1.768906517028808967e+00,1.105101470947265518e+00,-2.308629989624023937e-01,1.768906517028808967e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.114302139282226323e+00,-2.506272315979004017e-01,1.749353027343750311e+00,1.114302139282226323e+00,-2.506272315979004017e-01,1.749353027343750311e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.122685699462890430e+00,-2.707165336608886586e-01,1.727345924377441833e+00,1.122685699462890430e+00,-2.707165336608886586e-01,1.727345924377441833e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.126588439941406339e+00,-2.808684921264649748e-01,1.715639991760253169e+00,1.126588439941406339e+00,-2.808684921264649748e-01,1.715639991760253169e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.130415573120117090e+00,-2.913957405090332187e-01,1.703187332153320410e+00,1.130415573120117090e+00,-2.913957405090332187e-01,1.703187332153320410e+00,0.000000000000000000e+00
