t,X,Y,Z,V_X,V_Y,V_Z
0.000000000000000000e+00,4.185724258422851562e-01,3.166822195053100586e-01,-1.433985710144042969e+01,4.426060722973818029e-01,4.652628769238228434e-01,-4.241951822801922845e+00
0.000000000000000000e+00,6.661778092384338379e-01,4.712508916854858398e-01,-1.469999027252197266e+01,9.734876332185579129e-01,7.648647256016407603e-01,-4.630997036119010701e+00
0.000000000000000000e+00,9.735484719276428223e-01,6.424227952957153320e-01,-1.506799888610839844e+01,1.524567192218120315e+00,1.142201447915762280e+00,-4.763737239053587480e+00
0.000000000000000000e+00,1.326468706130981445e+00,8.196477890014648438e-01,-1.542062854766845703e+01,2.047215082017577625e+00,1.544776843693391299e+00,-4.566399769072067905e+00
0.000000000000000000e+00,1.705334424972534180e+00,9.903512001037597656e-01,-1.573931789398193359e+01,2.506939763057442150e+00,1.913306803778863863e+00,-4.316613132611072601e+00
0.000000000000000000e+00,2.131836652755737305e+00,1.158388614654541016e+00,-1.604770278930664062e+01,2.927486605040785506e+00,2.245863689933328189e+00,-4.068374787509557500e+00
0.000000000000000000e+00,2.579534053802490234e+00,1.307361006736755371e+00,-1.633327484130859375e+01,3.283663329605046588e+00,2.518576227290809211e+00,-3.851364518157186279e+00
0.000000000000000000e+00,3.073056459426879883e+00,1.439591884613037109e+00,-1.661847305297851562e+01,3.596474715932391319e+00,2.757821258628731176e+00,-3.655578275651923725e+00
0.000000000000000000e+00,3.579823255538940430e+00,1.541456341743469238e+00,-1.688988494873046875e+01,3.846047509608234272e+00,2.919691248628526026e+00,-3.485578071254224586e+00
0.000000000000000000e+00,4.124062061309814453e+00,1.617809891700744629e+00,-1.715715789794921875e+01,4.085587649678656064e+00,2.966372723649014276e+00,-3.278183184975778985e+00
0.000000000000000000e+00,4.685496807098388672e+00,1.666557312011718750e+00,-1.740553474426269531e+01,4.344543573653096402e+00,2.902763782933049264e+00,-3.059451687090152472e+00
0.000000000000000000e+00,5.243663787841796875e+00,1.688969373703002930e+00,-1.762668609619140625e+01,4.620153191776448232e+00,2.748737526362384553e+00,-2.849822898744319932e+00
0.000000000000000000e+00,5.830092906951904297e+00,1.687864065170288086e+00,-1.783473968505859375e+01,4.913907475817203441e+00,2.512134306763199376e+00,-2.644044119029445028e+00
0.000000000000000000e+00,6.426217555999755859e+00,1.663690090179443359e+00,-1.802468681335449219e+01,5.195052306763564332e+00,2.222014897136491030e+00,-2.454679573264161085e+00
0.000000000000000000e+00,7.030491828918457031e+00,1.618000388145446777e+00,-1.819896125793457031e+01,5.444586861315213966e+00,1.911312500166230333e+00,-2.284203304938749124e+00
0.000000000000000000e+00,7.641577243804931641e+00,1.552386641502380371e+00,-1.836000823974609375e+01,5.653099649701794682e+00,1.612760095042237607e+00,-2.133088260173798378e+00
0.000000000000000000e+00,8.240101814270019531e+00,1.471159100532531738e+00,-1.850576782226562500e+01,5.816208976695135036e+00,1.358752782578821039e+00,-2.004005688018137832e+00
0.000000000000000000e+00,8.843026161193847656e+00,1.374091029167175293e+00,-1.864292335510253906e+01,5.945996236262873325e+00,1.152730773872154613e+00,-1.890772566698118107e+00
0.000000000000000000e+00,9.449563026428222656e+00,1.262556076049804688e+00,-1.877296447753906250e+01,6.049516593697093825e+00,9.968643341755485388e-01,-1.792150853715338776e+00
0.000000000000000000e+00,1.005903720855712891e+01,1.137857198715209961e+00,-1.889712142944335938e+01,6.133318952215881303e+00,8.850922651650410256e-01,-1.706363739450644790e+00
0.000000000000000000e+00,1.068945693969726562e+01,9.969007372856140137e-01,-1.901995658874511719e+01,6.204506268824012238e+00,8.045621051975969662e-01,-1.629760348343085363e+00
0.000000000000000000e+00,1.132187271118164062e+01,8.445022106170654297e-01,-1.913854217529296875e+01,6.264387237239358086e+00,7.460152432949991308e-01,-1.563375262259566467e+00
0.000000000000000000e+00,1.195584583282470703e+01,6.817927360534667969e-01,-1.925360107421875000e+01,6.315828504911245034e+00,6.977639728829789778e-01,-1.505807864869610269e+00
0.000000000000000000e+00,1.257231712341308594e+01,5.149803161621093750e-01,-1.936246299743652344e+01,6.359483504721894498e+00,6.529396420589358430e-01,-1.457157961698278159e+00
0.000000000000000000e+00,1.320834255218505859e+01,3.348568677902221680e-01,-1.947220230102539062e+01,6.399143682757040708e+00,6.045100525044756479e-01,-1.413604975937631236e+00
0.000000000000000000e+00,1.382627010345458984e+01,1.527947038412094116e-01,-1.957672500610351562e+01,6.433102001925370850e+00,5.544504034977792983e-01,-1.376735099548202834e+00
0.000000000000000000e+00,1.444459629058837891e+01,-3.571213781833648682e-02,-1.967958259582519531e+01,6.462954241182209181e+00,5.026540212125335527e-01,-1.344528556077357218e+00
0.000000000000000000e+00,1.506315708160400391e+01,-2.300605326890945435e-01,-1.978100395202636719e+01,6.488976034751745559e+00,4.514893340338237415e-01,-1.316356579344978295e+00
0.000000000000000000e+00,1.568181228637695312e+01,-4.297127723693847656e-01,-1.988117599487304688e+01,6.511460079359525643e+00,4.034675810593816303e-01,-1.291668528079950695e+00
0.000000000000000000e+00,1.631920051574707031e+01,-6.404568552970886230e-01,-1.998324203491210938e+01,6.531290380923118200e+00,3.593810083565061042e-01,-1.269338416936146130e+00
0.000000000000000000e+00,1.695647430419921875e+01,-8.558565974235534668e-01,-2.008428573608398438e+01,6.548157775279332959e+00,3.219423375059669024e-01,-1.249708734939571908e+00
0.000000000000000000e+00,1.757481384277343750e+01,-1.068979740142822266e+00,-2.018148422241210938e+01,6.562107530202938577e+00,2.920779632832414263e-01,-1.232908834072113713e+00
0.000000000000000000e+00,1.819291114807128906e+01,-1.285759806632995605e+00,-2.027790641784667969e+01,6.574042957232527407e+00,2.679967484381686749e-01,-1.217989804919227037e+00
0.000000000000000000e+00,1.881071662902832031e+01,-1.505894541740417480e+00,-2.037361717224121094e+01,6.584290611050656494e+00,2.486484311833121463e-01,-1.204677348404290527e+00
0.000000000000000000e+00,1.942819976806640625e+01,-1.729116559028625488e+00,-2.046866989135742188e+01,6.593129509083729189e+00,2.328275888587671982e-01,-1.192724644795474909e+00
0.000000000000000000e+00,2.004532814025878906e+01,-1.955187082290649414e+00,-2.056311035156250000e+01,6.600785923293991608e+00,2.194213832504690043e-01,-1.181900861383399226e+00
0.000000000000000000e+00,2.068076515197753906e+01,-2.190865755081176758e+00,-2.065980148315429688e+01,6.607638139138775735e+00,2.071955884088678701e-01,-1.171631227723744395e+00
0.000000000000000000e+00,2.129711341857910156e+01,-2.422099828720092773e+00,-2.075308418273925781e+01,6.613432384402529784e+00,1.963389488028772778e-01,-1.162394503958734004e+00
0.000000000000000000e+00,2.193171501159667969e+01,-2.662731885910034180e+00,-2.084862327575683594e+01,6.618649980978852376e+00,1.858980369149600964e-01,-1.153461010665007835e+00
0.000000000000000000e+00,2.256586837768554688e+01,-2.905639886856079102e+00,-2.094359588623046875e+01,6.623208035010787142e+00,1.762643212624355193e-01,-1.145047166401111927e+00
0.000000000000000000e+00,2.318093299865722656e+01,-3.143457651138305664e+00,-2.103523254394531250e+01,6.627085007621730028e+00,1.678861548669372539e-01,-1.137159288957986236e+00
0.000000000000000000e+00,2.381417274475097656e+01,-3.390493631362915039e+00,-2.112907791137695312e+01,6.630588339930643116e+00,1.604973612645836933e-01,-1.129347428621204186e+00
0.000000000000000000e+00,2.444693565368652344e+01,-3.639485836029052734e+00,-2.122233200073242188e+01,6.633660080895087852e+00,1.546669794009940535e-01,-1.121631016787840718e+00
0.000000000000000000e+00,2.507919883728027344e+01,-3.890368700027465820e+00,-2.131496238708496094e+01,6.636356500846825490e+00,1.506640269092349715e-01,-1.113852241661952513e+00
0.000000000000000000e+00,2.569237327575683594e+01,-4.135641574859619141e+00,-2.140423583984375000e+01,6.638662265915331595e+00,1.487809281679353113e-01,-1.105975688536661394e+00
0.000000000000000000e+00,2.630504798889160156e+01,-4.382638454437255859e+00,-2.149283027648925781e+01,6.640700308044374722e+00,1.491676426488706131e-01,-1.097638211646046802e+00
0.000000000000000000e+00,2.691718482971191406e+01,-4.631370544433593750e+00,-2.158066940307617188e+01,6.642494416630359666e+00,1.522785090919678286e-01,-1.088536263550520911e+00
0.000000000000000000e+00,2.754726600646972656e+01,-4.889504432678222656e+00,-2.167026329040527344e+01,6.644104577672810485e+00,1.591369236149344779e-01,-1.077943445111470666e+00
0.000000000000000000e+00,2.817661094665527344e+01,-5.149433135986328125e+00,-2.175348663330078125e+01,6.631321904492648578e+00,1.332366006476259912e-01,-9.950813557358687556e-01
0.000000000000000000e+00,2.880683135986328125e+01,-5.409698963165283203e+00,-2.181593322753906250e+01,6.630332779028885959e+00,-4.583871634600278355e-03,-1.175674317325814622e+00
0.000000000000000000e+00,2.942539215087890625e+01,-5.660061359405517578e+00,-2.188307189941406250e+01,6.644889617940144433e+00,-2.879481321999191046e-01,-1.526655707921874106e+00
0.000000000000000000e+00,3.005806922912597656e+01,-5.903205394744873047e+00,-2.196869277954101562e+01,6.660087902803877746e+00,-7.154395867218650285e-01,-1.970064763144806275e+00
0.000000000000000000e+00,3.071244049072265625e+01,-6.132413864135742188e+00,-2.208021354675292969e+01,6.670748840370556820e+00,-1.238556848692710322e+00,-2.461494312405984264e+00
0.000000000000000000e+00,3.141355895996093750e+01,-6.348227024078369141e+00,-2.221997451782226562e+01,6.695181164200404211e+00,-1.761356307680155053e+00,-2.644389432086378999e+00
0.000000000000000000e+00,3.213751602172851562e+01,-6.543943881988525391e+00,-2.236147117614746094e+01,6.741833494384662728e+00,-2.159915934679053073e+00,-2.616583874542814492e+00
0.000000000000000000e+00,3.288104248046875000e+01,-6.720801353454589844e+00,-2.249415206909179688e+01,6.839239588481226484e+00,-2.382919850759211755e+00,-2.494334768597777696e+00
0.000000000000000000e+00,3.364183044433593750e+01,-6.879891395568847656e+00,-2.261455535888671875e+01,6.997999268050199895e+00,-2.414386933740782837e+00,-2.330211572937588294e+00
0.000000000000000000e+00,3.439492797851562500e+01,-7.018265247344970703e+00,-2.271930313110351562e+01,7.196935618930812240e+00,-2.278191204468692721e+00,-2.158805464595439982e+00
0.000000000000000000e+00,3.518425750732421875e+01,-7.145265579223632812e+00,-2.281565856933593750e+01,7.417900128250733083e+00,-2.010746629818770614e+00,-1.984697159368243202e+00
0.000000000000000000e+00,3.598556518554687500e+01,-7.257424354553222656e+00,-2.290168380737304688e+01,7.624592277494424586e+00,-1.675280393003396151e+00,-1.822308209515376198e+00
0.000000000000000000e+00,3.679732131958007812e+01,-7.355693817138671875e+00,-2.297889518737792969e+01,7.798282674985214769e+00,-1.334507701047870754e+00,-1.675642480372843801e+00
0.000000000000000000e+00,3.759383010864257812e+01,-7.438665866851806641e+00,-2.304673004150390625e+01,7.931191903225907502e+00,-1.045858839663124318e+00,-1.549243218700159019e+00
0.000000000000000000e+00,3.842217636108398438e+01,-7.512236118316650391e+00,-2.311049652099609375e+01,8.036364180715288796e+00,-8.196241704130292627e-01,-1.435048891498238000e+00
0.000000000000000000e+00,3.925724029541015625e+01,-7.574580192565917969e+00,-2.316908645629882812e+01,8.117295579807146666e+00,-6.725601308392530342e-01,-1.335878945497524173e+00
0.000000000000000000e+00,4.009805679321289062e+01,-7.626545906066894531e+00,-2.322335433959960938e+01,8.181035837902594920e+00,-5.945456396296934232e-01,-1.250019995303540021e+00
0.000000000000000000e+00,4.094377899169921875e+01,-7.668948650360107422e+00,-2.327401733398437500e+01,8.232529823194266072e+00,-5.655567713746402214e-01,-1.175772033535396721e+00
0.000000000000000000e+00,4.179371261596679688e+01,-7.702565670013427734e+00,-2.332166671752929688e+01,8.275125826455544953e+00,-5.629186305403299784e-01,-1.111568539276592604e+00
0.000000000000000000e+00,4.262208557128906250e+01,-7.727474689483642578e+00,-2.336548042297363281e+01,8.310255278046728478e+00,-5.668258755922800374e-01,-1.057464280684379032e+00
0.000000000000000000e+00,4.347857284545898438e+01,-7.745829105377197266e+00,-2.340849494934082031e+01,8.341785359485747620e+00,-5.641205814817665809e-01,-1.009172000679759984e+00
0.000000000000000000e+00,4.433765411376953125e+01,-7.757349967956542969e+00,-2.344966888427734375e+01,8.369725007918622950e+00,-5.479265745740344862e-01,-9.673073630812870638e-01
0.000000000000000000e+00,4.519893264770507812e+01,-7.762561798095703125e+00,-2.348925209045410156e+01,8.394645771541675572e+00,-5.176261270827549055e-01,-9.309525473777574556e-01
0.000000000000000000e+00,4.603665924072265625e+01,-7.762025356292724609e+00,-2.352635192871093750e+01,8.416113001122786486e+00,-4.781750333956427124e-01,-9.001382079603452713e-01
0.000000000000000000e+00,4.690130615234375000e+01,-7.756096839904785156e+00,-2.356337356567382812e+01,8.435457731371336365e+00,-4.327017537592363627e-01,-8.724242954858805188e-01
0.000000000000000000e+00,4.776725769042968750e+01,-7.745061874389648438e+00,-2.359931373596191406e+01,8.452054548470599116e+00,-3.880971278344690356e-01,-8.481454086422425265e-01
0.000000000000000000e+00,4.860878753662109375e+01,-7.729756832122802734e+00,-2.363325691223144531e+01,8.465713126236408925e+00,-3.500193080796245026e-01,-8.273252312903416339e-01
0.000000000000000000e+00,4.947671127319335938e+01,-7.709516048431396484e+00,-2.366734695434570312e+01,8.477544435018465663e+00,-3.187977790272151779e-01,-8.083108709421606974e-01
0.000000000000000000e+00,5.031982421875000000e+01,-7.685744762420654297e+00,-2.369963073730468750e+01,8.487163392570877818e+00,-2.970967206393405613e-01,-7.917887385659423405e-01
0.000000000000000000e+00,5.118907928466796875e+01,-7.657194137573242188e+00,-2.373211669921875000e+01,8.495462269073888351e+00,-2.829552500425994155e-01,-7.764152995090770615e-01
0.000000000000000000e+00,5.203323745727539062e+01,-7.625697135925292969e+00,-2.376291847229003906e+01,8.502226536887365071e+00,-2.757517604212993967e-01,-7.628040279701192583e-01
0.000000000000000000e+00,5.290335845947265625e+01,-7.589464187622070312e+00,-2.379391670227050781e+01,8.508093597289848375e+00,-2.733507852916300385e-01,-7.497638171247535954e-01
0.000000000000000000e+00,5.377377700805664062e+01,-7.549480915069580078e+00,-2.382417297363281250e+01,8.513034771540931800e+00,-2.745556692607982185e-01,-7.374550421282716206e-01
0.000000000000000000e+00,5.461879348754882812e+01,-7.507118225097656250e+00,-2.385281372070312500e+01,8.517078886813502336e+00,-2.783262125338267778e-01,-7.260529980457367527e-01
0.000000000000000000e+00,5.546394348144531250e+01,-7.461237430572509766e+00,-2.388070678710937500e+01,8.520468049727391247e+00,-2.848264674352469772e-01,-7.148312992735716964e-01
0.000000000000000000e+00,5.630913543701171875e+01,-7.411748409271240234e+00,-2.390779685974121094e+01,8.523225906519378725e+00,-2.952395245113743072e-01,-7.034209746042165978e-01
0.000000000000000000e+00,5.717993927001953125e+01,-7.356795787811279297e+00,-2.393478775024414062e+01,8.525352287927463024e+00,-3.128016230500381134e-01,-6.906007998302230444e-01
0.000000000000000000e+00,5.805062484741210938e+01,-7.297454833984375000e+00,-2.396070861816406250e+01,8.526535123331596466e+00,-3.423677780719487362e-01,-6.771863810522268379e-01
0.000000000000000000e+00,5.892233276367187500e+01,-7.233266353607177734e+00,-2.400169754028320312e+01,8.519897248434990189e+00,-2.906628955524072078e-01,-1.232294902303607831e+00
0.000000000000000000e+00,5.977371597290039062e+01,-7.169660091400146484e+00,-2.408193969726562500e+01,8.508381858842460232e+00,-1.250993696835575042e-01,-1.918129765509115625e+00
0.000000000000000000e+00,6.063451004028320312e+01,-7.109322547912597656e+00,-2.419574356079101562e+01,8.493073338649912429e+00,1.098348622181693490e-01,-2.528158616349129417e+00
