t, X, Y, Z, V_X, V_Y, V_Z, traj_id
0.000000000000000000e+00,1.132187271118164085e-01,8.445022106170655546e-03,1.148312530517577867e+00,6.264387237239358086e+00,7.460152432949990198e-01,-1.563375262259566467e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.195584583282470748e-01,6.817927360534667761e-03,1.155216064453125302e+00,6.315828504911245922e+00,6.977639728829788668e-01,-1.505807864869610269e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.257231712341308483e-01,5.149803161621092917e-03,1.161747779846191486e+00,6.359483504721894498e+00,6.529396420589358430e-01,-1.457157961698278159e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.320834255218505671e-01,3.348568677902221888e-03,1.168332138061523473e+00,6.399143682757039819e+00,6.045100525044756479e-01,-1.413604975937631236e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.382627010345458818e-01,1.527947038412094021e-03,1.174603500366210973e+00,6.433102001925370850e+00,5.544504034977792983e-01,-1.376735099548203056e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.444459629058837680e-01,-3.571213781833648443e-04,1.180774955749511745e+00,6.462954241182209181e+00,5.026540212125335527e-01,-1.344528556077356996e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.506315708160400335e-01,-2.300605326890945573e-03,1.186860237121581951e+00,6.488976034751744670e+00,4.514893340338236860e-01,-1.316356579344978295e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.568181228637695324e-01,-4.297127723693849183e-03,1.192870559692383203e+00,6.511460079359524755e+00,4.034675810593816303e-01,-1.291668528079950695e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.631920051574707042e-01,-6.404568552970886335e-03,1.198994522094726456e+00,6.531290380923117311e+00,3.593810083565061042e-01,-1.269338416936145908e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.695647430419921775e-01,-8.558565974235533141e-03,1.205057144165039062e+00,6.548157775279333848e+00,3.219423375059668468e-01,-1.249708734939571908e+00,0.000000000000000000e+00
