,t,X,Y,Z,occupancy,sig_x,sig_y,sig_z
0,0.0,317.956897145113,-665.5567153088448,-98.67216767417837,0.0,0.0,0.0,0.0
1,0.0,209.89328668506204,-515.9213761783321,-64.70931867244806,0.0,0.0,0.0,0.0
2,0.0,105.2679890915656,-371.04705798385316,-31.827082285920625,0.0,0.0,0.0,0.0
3,0.0,4.0,-230.82159423828125,-0.0,1.0,0.0,0.0,0.0
4,0.0,441.5615859164321,-824.6215943741605,-136.75753915121493,0.0,0.0,0.0,0.0
5,0.0,258.51103301572346,-539.5084167331165,-77.23345518044422,0.0,0.0,0.0,0.0
6,0.0,176.80591560885006,-412.24736625137257,-50.66471669645584,0.0,0.0,0.0,0.0
7,0.0,21.0,-169.56948852539062,-0.0,1.0,0.0,0.0,0.0
8,0.0,266.82659201610403,-516.901443991991,-75.8442474310152,0.0,0.0,0.0,0.0
9,0.0,129.2701872766184,-282.6569536149683,-28.812636378608005,0.0,0.0,0.0,0.0
10,0.0,108.23540175139391,-246.83686494023277,-21.620678626682377,0.0,0.0,0.0,0.0
11,0.0,45.0,-139.1534423828125,-0.0,1.0,0.0,0.0,0.0
12,0.0,326.246309655107,-606.7716979823936,-94.34462269016443,0.0,0.0,0.0,0.0
13,0.0,172.0571583373461,-334.78534012023806,-40.11492117928711,0.0,0.0,0.0,0.0
14,0.0,85.96611062096048,-182.92257732014514,-9.835930857868135,0.0,0.0,0.0,0.0
15,0.0,58.0,-133.59095764160156,-0.0,1.0,0.0,0.0,0.0
16,0.0,233.31988956397385,-389.33687206115167,-52.71365195055073,0.0,0.0,0.0,0.0
17,0.0,182.93236420204352,-290.76110899328876,-33.37114823159071,0.0,0.0,0.0,0.0
18,0.0,120.49342264465821,-168.60852727870326,-9.40240893338867,0.0,0.0,0.0,0.0
19,0.0,96.0,-120.69075775146484,-0.0,1.0,0.0,0.0,0.0
20,0.0,346.5462731206452,-592.9554551932149,-92.97630989315527,0.0,0.0,0.0,0.0
21,0.0,263.1086502688888,-420.67176897343256,-59.32700307936224,0.0,0.0,0.0,0.0
22,0.0,189.86922023740902,-269.4455169398926,-29.790494634302746,0.0,0.0,0.0,0.0
23,0.0,116.0,-116.91886138916016,-0.0,1.0,0.0,0.0,0.0
24,0.0,369.6616145341052,-634.4860447919796,-101.11749036952199,0.0,0.0,0.0,0.0
25,0.0,291.22050786468174,-469.0913364690542,-68.83011872107546,0.0,0.0,0.0,0.0
26,0.0,253.72461335625013,-390.03046138904165,-53.39632472341134,0.0,0.0,0.0,0.0
27,0.0,124.0,-116.50341033935547,-0.0,1.0,0.0,0.0,0.0
28,0.0,344.13860612342,-542.7735845893,-83.12191037678251,0.0,0.0,0.0,0.0
29,0.0,252.33684704588956,-328.4204278742719,-41.22668699233013,0.0,0.0,0.0,0.0
30,0.0,174.28696558638643,-146.17731357894718,-5.607356254731428,0.0,0.0,0.0,0.0
31,0.0,162.0,-117.48777770996094,-0.0,1.0,0.0,0.0,0.0
32,0.0,491.48285511525296,-881.8490082164631,-149.3482206387372,0.0,0.0,0.0,0.0
33,0.0,444.181295349122,-759.664487073035,-125.35903532014297,0.0,0.0,0.0,0.0
34,0.0,361.36596344506563,-545.7444446460947,-83.35889084097923,0.0,0.0,0.0,0.0
35,0.0,197.0,-121.17120361328125,-0.0,1.0,0.0,0.0,0.0
36,0.0,361.13179220368636,-498.77427131589764,-73.99650929229226,0.0,0.0,0.0,0.0
37,0.0,325.05534104678594,-394.46130186775315,-53.48244883052534,0.0,0.0,0.0,0.0
38,0.0,297.4503164594201,-314.64297179216874,-37.78547406516044,0.0,0.0,0.0,0.0
39,0.0,231.0,-122.50572967529297,-0.0,1.0,0.0,0.0,0.0
40,0.0,332.1415043721072,-355.70535396443665,-45.751769174358245,0.0,0.0,0.0,0.0
41,0.0,294.40995576649834,-234.14339022669117,-21.822616082530743,0.0,0.0,0.0,0.0
42,0.0,266.3947519200518,-143.8851495781471,-4.055518613313154,0.0,0.0,0.0,0.0
43,0.0,260.0,-123.28279876708984,-0.0,1.0,0.0,0.0,0.0
44,0.0,494.48760079753373,-849.2597909805567,-143.00469499821662,0.0,0.0,0.0,0.0
45,0.0,485.8471646983646,-806.4469340444202,-134.6268861361043,0.0,0.0,0.0,0.0
46,0.0,378.61004039581366,-275.0932375048101,-30.649248894421135,0.0,0.0,0.0,0.0
47,0.0,347.0,-118.46733093261719,-0.0,1.0,0.0,0.0,0.0
48,0.0,452.894324937255,-632.3288900492324,-100.5245730441147,0.0,0.0,0.0,0.0
49,0.0,441.3285746483616,-572.8822800850135,-88.88585272185284,0.0,0.0,0.0,0.0
50,0.0,374.5375213777203,-229.58404229649284,-21.673404793352574,0.0,0.0,0.0,0.0
51,0.0,353.0,-118.8836898803711,-0.0,1.0,0.0,0.0,0.0
52,0.0,455.09222175937623,-624.5990158474804,-98.91386781562633,0.0,0.0,0.0,0.0
53,0.0,430.1900850614457,-488.2052366877226,-72.16712839933057,0.0,0.0,0.0,0.0
54,0.0,403.83356630772556,-343.84552804418024,-43.85827492311266,0.0,0.0,0.0,0.0
55,0.0,363.0,-120.19225311279297,-0.0,1.0,0.0,0.0,0.0
56,0.0,502.86039286804674,-871.9280747294569,-147.2509569995863,0.0,0.0,0.0,0.0
57,0.0,437.5762876046175,-406.25017117167715,-54.69260331499105,0.0,0.0,0.0,0.0
58,0.0,409.00620469701437,-202.45697741954598,-14.186574659322616,0.0,0.0,0.0,0.0
59,0.0,399.0,-131.0817413330078,-0.0,1.0,0.0,0.0,0.0
60,0.0,442.0330330908429,-405.9722864568355,-54.476481307956746,0.0,0.0,0.0,0.0
61,0.0,421.3354624444982,-248.77979810256522,-23.184893458743744,0.0,0.0,0.0,0.0
62,0.0,418.5386531845329,-227.5387831767939,-18.95654201832224,0.0,0.0,0.0,0.0
63,0.0,406.0,-132.3110809326172,-0.0,1.0,0.0,0.0,0.0
64,0.0,476.3372818161735,-593.1590898079718,-91.51874484460211,0.0,0.0,0.0,0.0
65,0.0,458.19198392125327,-417.50175133201435,-56.437835581089615,0.0,0.0,0.0,0.0
66,0.0,442.20392347750885,-262.72776188282023,-25.527585389850486,0.0,0.0,0.0,0.0
67,0.0,429.0,-134.9058837890625,-0.0,1.0,0.0,0.0,0.0
68,0.0,506.3787168536592,-877.2483068195337,-148.23317707805032,0.0,0.0,0.0,0.0
69,0.0,470.0668311738305,-478.01031380025313,-68.34702858242717,0.0,0.0,0.0,0.0
70,0.0,448.54194566021573,-241.35083078147136,-20.992280452474574,0.0,0.0,0.0,0.0
71,0.0,439.0,-136.44007873535156,-0.0,1.0,0.0,0.0,0.0
72,0.0,542.7676113400514,-560.2416816839658,-86.6943940330191,0.0,0.0,0.0,0.0
73,0.0,555.5279978222607,-407.8915328116841,-56.982253245977134,0.0,0.0,0.0,0.0
74,0.0,559.9890627368109,-354.62951721300226,-46.59481012377627,0.0,0.0,0.0,0.0
75,0.0,580.0,-115.71282958984375,-0.0,1.0,0.0,0.0,0.0
76,0.0,522.8348354544512,-803.9416726398598,-134.21459783237813,0.0,0.0,0.0,0.0
77,0.0,564.1277704295766,-331.7579784923986,-42.09958904171373,0.0,0.0,0.0,0.0
78,0.0,579.4440989965773,-156.6161386619466,-7.932394546096759,0.0,0.0,0.0,0.0
79,0.0,583.0,-115.95449829101562,-0.0,1.0,0.0,0.0,0.0
80,0.0,553.3414970677832,-480.6657995504225,-71.10637374421978,0.0,0.0,0.0,0.0
81,0.0,568.8329000116869,-312.98793777699063,-38.379502624317084,0.0,0.0,0.0,0.0
82,0.0,576.0021985854023,-235.38795153888316,-23.23376590236205,0.0,0.0,0.0,0.0
83,0.0,587.0,-116.34851837158203,-0.0,1.0,0.0,0.0,0.0
84,0.0,531.886896356783,-844.1890816124568,-141.87555572408192,0.0,0.0,0.0,0.0
85,0.0,654.6010843850365,-306.27026448898346,-35.78930645304426,0.0,0.0,0.0,0.0
86,0.0,694.3215668575515,-132.15514959884945,-1.4510031773470757,0.0,0.0,0.0,0.0
87,0.0,696.0,-124.79772186279297,-0.0,1.0,0.0,0.0,0.0
88,0.0,531.8522679719409,-847.6862298291965,-142.54863320352698,0.0,0.0,0.0,0.0
89,0.0,668.3022650431301,-271.9849975112892,-28.899680029351146,0.0,0.0,0.0,0.0
90,0.0,678.8656595248603,-227.41658892847727,-20.101448071983185,0.0,0.0,0.0,0.0
91,0.0,703.0,-125.59049987792969,-0.0,1.0,0.0,0.0,0.0
92,0.0,638.6773767275777,-507.68954288872123,-74.80358418351297,0.0,0.0,0.0,0.0
93,0.0,640.2958376472433,-502.2699706315844,-73.72573651467515,0.0,0.0,0.0,0.0
94,0.0,698.2477585783772,-308.2123822709966,-35.131450967636084,0.0,0.0,0.0,0.0
95,0.0,751.0,-131.56642150878906,-0.0,1.0,0.0,0.0,0.0
96,0.0,513.0655186351338,-929.5286941208068,-158.71105774943496,0.0,0.0,0.0,0.0
97,0.0,657.3367660145931,-558.4603949107207,-86.00564240338831,0.0,0.0,0.0,0.0
98,0.0,765.802935796135,-279.4834131923278,-31.344176115375916,0.0,0.0,0.0,0.0
99,0.0,828.0,-119.51142120361328,-0.0,1.0,0.0,0.0,0.0
100,0.0,583.8762262207264,-750.4613260111166,-123.70462610168724,0.0,0.0,0.0,0.0
101,0.0,622.8162984683598,-651.9525961815693,-104.44589269549334,0.0,0.0,0.0,0.0
102,0.0,658.4644063438212,-561.7717201599077,-86.8152781028233,0.0,0.0,0.0,0.0
103,0.0,834.0,-117.7101821899414,-0.0,1.0,0.0,0.0,0.0
104,0.0,619.0003017251797,-662.9443571293657,-106.66086864355573,0.0,0.0,0.0,0.0
105,0.0,677.2399902407714,-516.3373886931835,-78.03458106809543,0.0,0.0,0.0,0.0
106,0.0,719.4523250249696,-410.076132991795,-57.286145326709885,0.0,0.0,0.0,0.0
107,0.0,836.0,-116.69026947021484,-0.0,1.0,0.0,0.0,0.0
108,0.0,730.239757899446,-551.656387584015,-82.05495807999638,0.0,0.0,0.0,0.0
109,0.0,735.2917636293372,-542.8360652380067,-80.26629012457428,0.0,0.0,0.0,0.0
110,0.0,883.2866257075666,-284.45108729557,-27.868553162359888,0.0,0.0,0.0,0.0
111,0.0,962.0,-147.02500915527344,-0.0,1.0,0.0,0.0,0.0
112,0.0,453.93594284929793,-838.5386301000733,-140.39234961594497,0.0,0.0,0.0,0.0
113,0.0,104.62230781985221,-261.9532064327857,-24.442169192558282,0.0,0.0,0.0,0.0
114,0.0,42.66615380648017,-159.68689980096883,-3.8766185933552038,0.0,0.0,0.0,0.0
115,0.0,34.0,-145.38233947753906,-1.0,1.0,0.0,0.0,0.0
116,0.0,395.81289037634866,-737.7234139884797,-120.36145811024815,0.0,0.0,0.0,0.0
